stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
259205,"Zähringer Straße",8.560389,49.462143,STATION,509727,8560077,49463711,Mannheim,"Seckenheim Zähringer Straße",BUS,200
257020,Blumenau,8.479401,49.561598,STATION,509687,8478868,49561585,Mannheim,Blumenau,BUS,50
285935,Parkinsel,8.45176,49.46618,STATION,507343,8451775,49466219,"Ludwigshafen am Rhein",Parkinsel,BUS;ON_DEMAND,50
131101,Haarlaß,8.730295,49.420209,STATION,510797,8729020,49420077,Heidelberg,"Ziegelhausen Haarlass",BUS,100
261520,"Waldhof Bahnhof",8.481879,49.52418,STATION,518569,8481835,49524711,Mannheim,"Waldhof Bahnhof",TRAM;BUS,100
110201,"Villa Schmeil",8.73227,49.4159,STATION,510009,8732355,49415942,Heidelberg,"Schlierbach Villa Schmeil",BUS;ON_DEMAND,50
238302,Lindenhofplatz,8.467969,49.476886,STATION,507941,8467857,49477194,Mannheim,"Lindenhof Lindenhofplatz",TRAM;BUS,50
238301,Lindenhofplatz,8.467781,49.477432,STATION,510659,8467812,49477482,Mannheim,"Lindenhof Lindenhofplatz",TRAM;BUS,50
131102,Haarlaß,8.728996,49.420131,STATION,510797,8729020,49420077,Heidelberg,"Ziegelhausen Haarlass",BUS,50
679402,Montpellierbrücke,8.67874,49.40079,STATION,508218,8678519,49400660,Heidelberg,Montpellierbrücke,TRAM;BUS,50
679401,Montpellierbrücke,8.678343,49.400546,STATION,508182,8678510,49400651,Heidelberg,Montpellierbrücke,TRAM;BUS,50
216502,Wilhelm-Tell-Straße,8.370006,49.490381,STATION,508965,8370387,49490498,"Ludwigshafen am Rh","Oggersheim Wilhelm-Tell-Straße",TRAM,50
203201,Hagellochstraße,8.416149,49.499206,STATION,506455,8416124,49499227,"Ludwigshafen am Rhein","Friesenheim Hagellochstraße",TRAM,50
203202,Hagellochstraße,8.416089,49.49914,STATION,506455,8416124,49499227,"Ludwigshafen am Rhein","Friesenheim Hagellochstraße",TRAM,50
615805,"Prager Straße",8.38886,49.54185,STATION,506726,8389803,49541764,"Ludwigshafen am Rhein","Pfingstweide Prager Straße",BUS,100
283306,"Saarburger Ring",8.57549,49.44573,STATION,511190,8575637,49445876,Mannheim,"Friedrichsfeld Saarburger Ring",BUS,50
206705,Bgm.-Krafft-Platz,8.450213,49.473151,STATION,518283,8450382,49473239,"Ludwigshafen am Rhein","Bürgermeister-Krafft-Platz",BUS,50
206706,Bgm.-Krafft-Platz,8.450485,49.473261,STATION,518283,8450382,49473239,"Ludwigshafen am Rhein","Bürgermeister-Krafft-Platz",BUS,50
615806,"Prager Straße",8.389895,49.541805,STATION,506726,8389803,49541764,"Ludwigshafen am Rhein","Pfingstweide Prager Straße",BUS,50
120001,Albert-Fritz-Str.,8.67219,49.38286,STATION,507480,8672271,49382987,Heidelberg,"Kirchheim Albert-Fritz-Straße",TRAM,50
249402,Lettestraße,8.486681,49.465443,STATION,518656,8486743,49465410,Mannheim,"Neckarau Lettestraße",TRAM;BUS,50
120002,Albert-Fritz-Str.,8.67236,49.38318,STATION,507480,8672271,49382987,Heidelberg,"Kirchheim Albert-Fritz-Straße",TRAM,50
249401,Lettestraße,8.486855,49.465384,STATION,518656,8486743,49465410,Mannheim,"Neckarau Lettestraße",TRAM;BUS,50
570004,Oggersheim,8.363979,49.488181,STATION,508951,8364346,49488575,"Ludwigshafen am Rhein","Oggersheim Endstelle",TRAM,100
570002,Oggersheim,8.364314,49.488298,STATION,508951,8364346,49488575,"Ludwigshafen am Rhein","Oggersheim Endstelle",TRAM,50
570003,Oggersheim,8.36447,49.48854,STATION,508951,8364346,49488575,"Ludwigshafen am Rhein","Oggersheim Endstelle",TRAM,50
206620,"Berliner Platz",8.450756,49.480583,STATION,511234,8450768,49480565,"Ludwigshafen am Rhein","Berliner Platz",TRAM;BUS;ON_DEMAND,50
203106,"Friesenheim Ost",8.421495,49.501392,STATION,506457,8421427,49501474,"Ludwigshafen am Rhein","Friesenheim Ost",TRAM;BUS,50
570001,Oggersheim,8.36474,49.48845,STATION,508951,8364346,49488575,"Ludwigshafen am Rhein","Oggersheim Endstelle",TRAM,50
203105,"Friesenheim Ost",8.420821,49.501083,STATION,511073,8420825,49501124,"Ludwigshafen am Rhein","Friesenheim Ost",TRAM;BUS,50
236005,Thomashaus,8.506724,49.466404,STATION,510897,8506573,49466443,Mannheim,"Neuhermsheim Thomashaus",BUS,50
236006,Thomashaus,8.506308,49.466557,STATION,510897,8506573,49466443,Mannheim,"Neuhermsheim Thomashaus",BUS,50
603005,Kaiserstuhlring,8.551051,49.462311,STATION,509557,8550944,49462335,Mannheim,"Seckenheim Kaiserstuhlring",BUS,50
252510,"Rheinau Bahnhof",8.535634,49.424074,STATION,518328,8536130,49424068,Mannheim,"Rheinau Bahnhof",TRAM;BUS;ON_DEMAND,50
299601,Herrenweg,8.80333,49.38114,STATION,508561,8803262,49381163,Neckargemünd,Herrenweg,BUS,50
248006,August-Bebel-Straße,8.480063,49.466822,STATION,508487,8480154,49466767,Mannheim,"Neckarau August-Bebel-Straße",BUS,50
242705,Kurpfalzbrücke,8.470685,49.492876,STATION,506637,8470733,49492925,Mannheim,Kurpfalzbrücke,TRAM;BUS,50
116803,Seegarten,8.69221,49.40716,STATION,518184,8692003,49407132,Heidelberg,Seegarten,TRAM;BUS,50
242701,Kurpfalzbrücke,8.469346,49.493709,STATION,518351,8469843,49493609,Mannheim,Kurpfalzbrücke,TRAM;BUS,50
116804,Seegarten,8.690987,49.406973,STATION,518183,8691904,49407132,Heidelberg,Seegarten,TRAM;BUS,100
242702,Kurpfalzbrücke,8.470124,49.493522,STATION,518351,8469843,49493609,Mannheim,Kurpfalzbrücke,TRAM;BUS,50
